WY	date	CoalCreek reg
2009	5/1/2009	2.969
2009	5/2/2009	2.899
2009	5/3/2009	2.384
2009	5/4/2009	1.963
2009	5/5/2009	1.743
2009	5/6/2009	2.138
2009	5/7/2009	3.454
2009	5/8/2009	4.679
2009	5/9/2009	4.799
2009	5/10/2009	4.476
2009	5/11/2009	5.532
2009	5/12/2009	6.676
2009	5/13/2009	6.549
2009	5/14/2009	6.374
2009	5/15/2009	6.996
2009	5/16/2009	7.126
2009	5/17/2009	7.417
2009	5/18/2009	8.111
2009	5/19/2009	8.819
2009	5/20/2009	7.740
2009	5/21/2009	7.781
2009	5/22/2009	8.000
2009	5/23/2009	5.850
2009	5/24/2009	6.932
2009	5/25/2009	7.100
2009	5/26/2009	5.098
2009	5/27/2009	4.583
2009	5/28/2009	4.777
2009	5/29/2009	5.188
2009	5/30/2009	5.177
2009	5/31/2009	5.626
2009	6/1/2009	5.109
2009	6/2/2009	3.951
2009	6/3/2009	4.434
2009	6/4/2009	4.445
2009	6/5/2009	4.755
2009	6/6/2009	3.841
2009	6/7/2009	2.855
2009	6/8/2009	2.201
2009	6/9/2009	2.077
2009	6/10/2009	1.978
2009	6/11/2009	2.031
2009	6/12/2009	1.859
2009	6/13/2009	1.837
2009	6/14/2009	2.162
2009	6/15/2009	2.280
2009	6/16/2009	2.490
2009	6/17/2009	2.674
2009	6/18/2009	2.907
